text,size
population,23
priorities,23
programs,23
proposed,23
provided,23
questions,23
racial,23
sides,23
uncertainty,23
works,23
approach,22
blame,22
chain,22
company,22
discuss,22
filed,22
follow,22
force,22
foreign,22
lawsuit,22
lead,22
letter,22
live,22
midterm,22
overhaul,22
plans,22
play,22
popular,22
protecting,22
repeatedly,22
room,22
seeking,22
sought,22
started,22
subject,22
sure,22
table,22
tried,22
version,22
voting,22
ways,22
wrong,22
ability,21
aid,21
alone,21
amazon,21
applicants,21
attorneys,21
better,21
changed,21
chuck,21
close,21
coalition,21
conservatives,21
continued,21
defense,21
either,21
evening,21
following,21
full,21
green,21
half,21
hill,21
houston,21
includes,21
nancy,21
opposition,21
possibility,21
professor,21
progress,21
pushing,21
richard,21
spokesman,21
step,21
taken,21
turn,21
turned,21
virginia,21
warned,21
win,21
agents,20
application,20
begin,20
board,20
calling,20
challenge,20
course,20
crime,20
daily,20
dead,20
economic,20
fall,20
father,20
forced,20
granted,20
human,20
inbox,20
kasich,20
lawyer,20
looking,20
member,20
message,20
mind,20
noted,20
passage,20
police,20
racist,20
read,20
response,20
simply,20
speak,20
thinking,20
unauthorized,20
within,20
accept,19
agenda,19
answer,19
appeal,19
appeared,19
benefits,19
building,19
commitment,19
cornyn,19
criminal,19
decades,19
demand,19
demands,19
despite,19
documents,19
dreamer,19
education,19
evangelicals,19
faith,19
fighting,19
final,19
gets,19
graduate,19
higher,19
ideas,19
judges,19
key,19
men,19
raised,19
recently,19
record,19
rescind,19
san,19
saturday,19
session,19
threatened,19
trust,19
unable,19
voice,19
west,19
wife,19
worried,19
approval,18
article,18
attended,18
calls,18
cities,18
clients,18
communities,18
companies,18
considered,18
couldn,18
critics,18
described,18
dinner,18
effect,18
facing,18
felt,18
figure,18
giving,18
holding,18
injunction,18
issued,18
knew,18
lindsey,18
moment,18
movement,18
napolitano,18
patrol,18
perhaps,18
politically,18
required,18
return,18
run,18
situation,18
sometimes,18
terms,18
word,18
words,18
adults,17
affairs,17
ahead,17
aimed,17
arguments,17
attention,17
beach,17
became,17
beyond,17
certainly,17
church,17
class,17
david,17
fox,17
individuals,17
kentucky,17
lawsuits,17
low,17
mark,17
met,17
michael,17
moving,17
nafta,17
nations,17
negotiate,17
negotiating,17
outside,17
participants,17
pathway,17
plaintiffs,17
previous,17
raise,17
report,17
rescinded,17
roughly,17
stories,17
teachers,17
uncertain,17
urging,17
veterans,17
veto,17
visit,17
whatever,17
whole,17
allies,16
alsup,16
bills,16
clock,16
concern,16
debt,16
decide,16
declared,16
delay,16
estimated,16
example,16
extended,16
flake,16
funded,16
garcia,16
grants,16
grew,16
growing,16
happened,16
hispanic,16
hour,16
intention,16
interest,16
involved,16
kids,16
leadership,16
leverage,16
mean,16
minority,16
mostly,16
oppose,16
oval,16
particularly,16
protest,16
reyes,16
rule,16
save,16
shield,16
shields,16
significant,16
similar,16
simple,16
society,16
stance,16
taxes,16
telling,16
travel,16
tweeted,16
union,16
wind,16
actions,15
administrative,15
authorities,15
avoid,15
benefit,15
borders,15
break,15
claim,15
claiming,15
colleagues,15
concerned,15
cruel,15
deals,15
delays,15
deportations,15
employees,15
entered,15
everybody,15
familiar,15
finally,15
firm,15
focus,15
front,15
head,15
heart,15
heat,15
highly,15
history,15
introduced,15
isn,15
kept,15
king,15
lack,15
losing,15
ordered,15
planned,15
playing,15
points,15
postal,15
potentially,15
prevent,15
recipient,15
release,15
renewals,15
sarah,15
secure,15
shielded,15
small,15
steel,15
success,15
suit,15
trip,15
ultimately,15
unclear,15
understand,15
views,15
watch,15
watching,15
writing,15
accepted,14
addition,14
anxiety,14
approve,14
beginning,14
believed,14
canada,14
chamber,14
child,14
choice,14
clearly,14
closed,14
consider,14
conversation,14
cotton,14
date,14
details,14
door,14
dozen,14
elected,14
episode,14
essentially,14
evangelical,14
food,14
funds,14
grant,14
happy,14
helping,14
hoped,14
hoping,14
hurricane,14
ice,14
impossible,14
insisted,14
jan,14
keeping,14
limited,14
limits,14
luis,14
maybe,14
media,14
mexicans,14
minutes,14
offering,14
older,14
opinion,14
palm,14
phone,14
pledge,14
poll,14
promises,14
properly,14
qualify,14
relatives,14
remember,14
reported,14
requests,14
resolution,14
rest,14
serve,14
served,14
son,14
spokeswoman,14
wisconsin,14
worker,14
access,13
african,13
allows,13
appear,13
aren,13
arguing,13
aside,13
attempt,13
basis,13
bought,13
bush,13
cause,13
committed,13
contact,13
conversations,13
critical,13
decisions,13
delayed,13
deport,13
eager,13
ed,13
eight,13
employers,13
eventually,13
failure,13
february,13
fellow,13
freedom,13
gives,13
governor,13
harder,13
harvey,13
homes,13
honduras,13
huckabee,13
indicated,13
infrastructure,13
january,13
lawful,13
lower,13
middle,13
millions,13
near,13
necessary,13
november,13
numbers,13
paperwork,13
particular,13
partisan,13
perdue,13
politicians,13
posted,13
previously,13
primary,13
