text,size
"visa,visa",422
"visa,upp",221
"visa,mastercard",215
"us,visa",206
"att,visa",173
"visa,sin",164
"visa,immigration",159
"visa,kropp",159
"sin,kropp",159
"social,media",142
"immigration,visa",138
"social,visa",126
"upp,kropp",125
"visa,applicants",120
"visa,travel",110
